rank,player,team,position,total_tackles,tackles_won,tackle_win_rate_pct,tackle_score
2541,Michele Di Gregorio,Juventus,GK,0,0,0.0,3.810898860236799
2542,Adrián,Betis,GK,0,0,0.0,3.8090158569416355
2543,Callum Wilson,Newcastle Utd,FW,2,2,0.0,3.8072984557106344
2544,Pepe Reina,Como,GK,0,0,0.0,3.807293375862766
2545,Adam Aznou,Bayern Munich,DF,0,0,0.0,3.807293375862766
2546,Jesper Karlsson,Bologna,FW,1,0,0.0,3.806892675409191
2547,Noah Weißhaupt,Freiburg,FW,0,0,0.0,3.8067209930192547
2548,Evan Ferguson,West Ham,FW,3,1,0.0,3.8030823117454537
2549,Mario Maroto,Valladolid,MF,0,0,0.0,3.8019791867454535
2550,Krapyvtsov Vladyslav,Girona,GK,0,0,0.0,3.8000961834502895
2551,Caoimhín Kelleher,Liverpool,GK,0,0,0.0,3.8000961834502895
2552,Dinko Horkaš,Las Palmas,GK,0,0,0.0,3.8000961834502895
2553,Philipp Köhn,Monaco,GK,0,0,0.0,3.8000961834502895
2554,Florian Ayé,Auxerre,FW,2,2,0.0,3.7956590491459865
2555,Jacob Bruun Larsen,Stuttgart,"MF,FW",1,1,0.0,3.791767460893697
2556,Kevin Zeroli,Monza,MF,6,2,0.0,3.789564533088466
2557,Akor Adams,Sevilla,FW,0,0,0.0,3.785779340690738
2558,Lukáš Hrádecký,Leverkusen,GK,0,0,0.0,3.7822810697203226
2559,Daniel Bentley,Wolves,GK,0,0,0.0,3.7822810697203226
2560,Benjamin Bourigeaud,Rennes,MF,1,0,0.0,3.78169672968035
2561,Mert Kömür,Augsburg,MF,3,2,0.0,3.7807910964564466
2562,Vasilije Adžić,Juventus,"MF,FW",2,2,0.0,3.777284917886163
2563,Noah Atubolu,Freiburg,GK,0,0,0.0,3.776055497191661
2564,Eloge Zabi,Reims,"DF,MF",0,0,0.0,3.776055497191661
2565,Nicholas Pierini,Venezia,MF,0,0,0.0,3.776055497191661
2566,Daniel Rodriguez,Barcelona,FW,0,0,0.0,3.776055497191661
2567,Riccardo Sottil,Milan,"FW,MF",1,1,0.0,3.776055497191661
2568,Alphadjo Cissè,Hellas Verona,"FW,MF",0,0,0.0,3.775985933911804
2569,Odsonne Édouard,Leicester City,FW,1,1,0.0,3.775985933911804
2570,Alex McCarthy,Southampton,GK,0,0,0.0,3.775985933911804
2571,Assan Ouedraogo,RB Leipzig,MF,0,0,0.0,3.775985933911804
2572,Alessandro Florenzi,Milan,FW,0,0,0.0,3.775985933911804
2573,Marco Carnesecchi,Atalanta,GK,0,0,0.0,3.775985933911804
2574,Radosław Majecki,Monaco,GK,0,0,0.0,3.775985933911804
2575,Borna Barišić,Leganés,DF,0,0,0.0,3.775985933911804
2576,Alessandro Bianco,Fiorentina,MF,0,0,0.0,3.775985933911804
2577,Vitezslav Jaros,Liverpool,GK,0,0,0.0,3.775985933911804
2578,Arijon Ibrahimović,Lazio,MF,0,0,0.0,3.775985933911804
2579,Viggo Gebel,RB Leipzig,MF,0,0,0.0,3.775985933911804
2580,Elysée Logbo,Le Havre,FW,0,0,0.0,3.775985933911804
2581,Ayman Azhil,Dortmund,MF,1,1,0.0,3.775985933911804
2582,Daniele Padelli,Udinese,GK,0,0,0.0,3.775985933911804
2583,Pau López,Girona,GK,0,0,0.0,3.775985933911804
2584,Takehiro Tomiyasu,Arsenal,DF,0,0,0.0,3.775985933911804
2585,Semuel Pizzignacco,Monza,GK,0,0,0.0,3.774593135930469
2586,Jesse Joronen,Venezia,GK,0,0,0.0,3.762546020100128
2587,Nikola Vasilj,St. Pauli,GK,0,0,0.0,3.7537758858045076
2588,Christian Kouamé,Fiorentina,"FW,MF",13,8,0.0,3.7500962025691673
2589,Walid Cheddira,Espanyol,FW,5,0,0.0,3.745943284958701
2590,Reda Khadra,Reims,"MF,FW",1,1,0.0,3.7361603724174706
2591,Nick Pope,Newcastle Utd,GK,0,0,0.0,3.731838411713014
2592,Álvaro Odriozola,Real Sociedad,DF,1,1,0.0,3.730514575482812
2593,Karl Jakob Hein,Valladolid,GK,0,0,0.0,3.7299554084178506
2594,Randal Kolo Muani,Paris S-G,FW,4,4,0.0,3.7140284718660967
2595,Kepa Arrizabalaga,Bournemouth,GK,1,0,0.0,3.7010652379709783
2596,Justin Bourgault,Brest,DF,2,1,0.0,3.699336023016325
2597,Kevin Trapp,Eint Frankfurt,GK,0,0,0.0,3.698478012120493
2598,Iago Parente,Valladolid,DF,0,0,0.0,3.6968567851984506
2599,Jonas Omlin,Gladbach,GK,0,0,0.0,3.693403041238391
2600,Luiz Lúcio Reis Júnior,Villarreal,GK,0,0,0.0,3.693403041238391
2601,André Silva,Werder Bremen,FW,2,2,0.0,3.6859040331340025
2602,Marco Sala,Lecce,DF,1,0,0.0,3.6768655806926653
2603,Armando Broja,Everton,FW,3,1,0.0,3.671623407879884
2604,Hannes Behrens,Hoffenheim,DF,1,1,0.0,3.669516549269146
2605,Germán Valera,Valencia,MF,1,1,0.0,3.669263132541153
2606,Álex Domínguez,Toulouse,GK,0,0,0.0,3.6663632895420393
2607,Filip Stankovic,Venezia,GK,0,0,0.0,3.6649538593290942
2608,Andrey Santos,Strasbourg,MF,110,74,58.6,3.6623994151226786
2609,Leandro Chichizola,Parma,GK,0,0,0.0,3.6377995744434615
2610,Raoul Bellanova,Torino,DF,0,0,0.0,3.6377995744434615
2611,Samuel Iling-Junior,Bologna,"FW,MF",3,2,0.0,3.6355853289659574
2612,Iker Almena,Girona,"FW,DF",0,0,0.0,3.6338212005829695
2613,Dimitry Bertaud,Montpellier,GK,0,0,0.0,3.6317143419722315
2614,Christos Mandas,Lazio,GK,0,0,0.0,3.623831578795627
2615,Pere Milla,Espanyol,"MF,FW",6,2,5.6,3.622215364937434
2616,Joan García,Espanyol,GK,0,0,0.0,3.6190707479626667
2617,Arijanet Muric,Ipswich Town,GK,0,0,0.0,3.6190707479626667
2618,Mikey Moore,Tottenham,FW,2,1,0.0,3.612981048110926
2619,Thiago,Brentford,"FW,MF",5,3,0.0,3.6043174050465576
2620,André Silva,RB Leipzig,"FW,MF",1,1,0.0,3.6026531373697903
2621,Mergim Berisha,Hoffenheim,"FW,MF",3,3,0.0,3.597793824125757
2622,Kevin Volland,Union Berlin,"FW,MF",0,0,0.0,3.5906836951125514
2623,Alexander Schwolow,Union Berlin,GK,0,0,0.0,3.5883241142795907
2624,Ben Winterburn,Bournemouth,"MF,FW",0,0,0.0,3.5883241142795907
2625,Pablo Garcia,Betis,FW,0,0,0.0,3.5883241142795907
2626,Diego Iturralde,Sevilla,FW,0,0,0.0,3.5883241142795907
2627,Arturo Rodríguez,Las Palmas,FW,0,0,0.0,3.5883241142795907
2628,Matteo Palma,Udinese,DF,0,0,0.0,3.5883241142795907
2629,Timothy Chandler,Eint Frankfurt,DF,0,0,0.0,3.5877434437075464
2630,Martial Godo,Fulham,"FW,DF",0,0,0.0,3.584860496601326
2631,Nicolò Zaniolo,Fiorentina,FW,3,1,0.0,3.5844001231259517
2632,Nicola Leali,Genoa,GK,0,0,0.0,3.5807576812617827
2633,Stefano Turati,Monza,GK,0,0,0.0,3.5801638981929993
2634,André Ferreira,Valladolid,GK,0,0,0.0,3.578227261267833
2635,Viktor Kovalenko,Empoli,MF,2,1,0.0,3.57692175059812
2636,Steve Mandanda,Rennes,GK,0,0,0.0,3.5761467776496714
2637,Alex Palmer,Ipswich Town,GK,0,0,0.0,3.5761467776496714
2638,Marius Müller,Wolfsburg,GK,0,0,0.0,3.5748046589891986
2639,Duván Zapata,Torino,FW,7,5,0.0,3.566140246191245
2640,Mark Travers,Bournemouth,GK,0,0,0.0,3.560474739144257
2641,Simone Scuffet,Cagliari,GK,0,0,0.0,3.560474739144257
2642,Arne Engels,Augsburg,"MF,FW",0,0,0.0,3.560474739144257
2643,Dominik Greif,Mallorca,GK,0,0,0.0,3.555830896865399
2644,Nediljko Labrović,Augsburg,GK,0,0,0.0,3.555830896865399
2645,Joe Lumley,Southampton,GK,0,0,0.0,3.555830896865399
2646,Razvan Sava,Udinese,GK,0,0,0.0,3.555830896865399
2647,Robert Sánchez,Chelsea,GK,0,0,0.0,3.5544743429829606
2648,Unai Simón,Athletic Club,GK,0,0,0.0,3.5531002511026184
2649,Kauã Santos,Eint Frankfurt,GK,0,0,0.0,3.543762497753258
2650,Maxwel Cornet,Genoa,"FW,MF",2,1,0.0,3.540584271595958
2651,Arkaitz Mariezkurrena,Real Sociedad,"FW,MF",1,0,0.0,3.5362976667450443
2652,Kamil Grabara,Wolfsburg,GK,0,0,0.0,3.5257267144851734
2653,Saïmon Bouabré,Monaco,"MF,FW",1,0,0.0,3.5236501073209503
2654,Christian Walton,Ipswich Town,GK,0,0,0.0,3.522406813848661
2655,Iker Benito,Osasuna,"FW,MF",0,0,0.0,3.5195570226982205
2656,Folarin Balogun,Monaco,FW,1,1,0.0,3.506324953580007
2657,Daniel Podence,Wolves,"MF,FW",0,0,0.0,3.483497496328003
2658,Timon Weiner,Holstein Kiel,GK,0,0,0.0,3.481709177468846
2659,Brandon Austin,Tottenham,GK,0,0,0.0,3.481709177468846
2660,Yahia Fofana,Angers,GK,0,0,0.0,3.4762598601536085
2661,Frederik Rønnow,Union Berlin,GK,0,0,0.0,3.463667799986991
2662,Sheraldo Becker,Real Sociedad,"FW,MF",3,2,0.0,3.449974554727206
2663,Julen Agirrezabala,Athletic Club,GK,0,0,0.0,3.445515934778996
2664,Elia Caprile,Cagliari,GK,1,0,0.0,3.4446433441992856
2665,Julio Enciso,Brighton,"MF,FW",0,0,0.0,3.434139261029407
2666,Kingstone Mutandwa,Cagliari,"FW,MF",0,0,0.0,3.4190597319943516
2667,Rico Henry,Brentford,DF,2,2,0.0,3.4134273238728308
2668,Adrian Benedyczak,Parma,"FW,MF",0,0,0.0,3.405389836963509
2669,Benjamin Lecomte,Montpellier,GK,0,0,0.0,3.4023733745209404
2670,Łukasz Fabiański,West Ham,GK,0,0,0.0,3.377434906040564
2671,Eybi Nije,Torino,"FW,MF",5,1,0.0,3.3623257570236484
2672,Theo Bair,Auxerre,FW,4,3,0.0,3.354767151426291
2673,Mykhailo Mudryk,Chelsea,FW,2,2,0.0,3.354249429744212
2674,Joel Pohjanpalo,Venezia,FW,3,3,0.0,3.3496917068964405
2675,Gift Orban,Lyon,"FW,DF",0,0,0.0,3.3430540007911778
2676,Ousmane Toure,Lille,DF,0,0,0.0,3.340333355297255
2677,Wylan Cyprien,Parma,MF,0,0,0.0,3.340333355297255
2678,Kembo Diliwidi,Lens,DF,0,0,0.0,3.3395959153934087
2679,Divin Mubama,Manchester City,FW,0,0,0.0,3.3395959153934087
2680,Walid Cheddira,Napoli,FW,0,0,0.0,3.3395959153934087
2681,Grant Ranos,Gladbach,FW,1,0,0.0,3.3395959153934087
2682,Paul Akouokou,Lyon,MF,1,0,0.0,3.3395959153934087
2683,Mama Samba Baldé,Lyon,FW,2,2,0.0,3.3395959153934087
2684,Vanja Vlahović,Atalanta,"FW,MF",1,1,0.0,3.3395239058825386
2685,Mateusz Kowalski,Parma,MF,0,0,0.0,3.3395239058825386
2686,Jake Evans,Leicester City,FW,1,1,0.0,3.3391513841434084
2687,Paul Hennrich,Hoffenheim,MF,0,0,0.0,3.3391513841434084
2688,Federico Accornero,Genoa,MF,0,0,0.0,3.3391513841434084
2689,Simon Cara,Montpellier,"MF,FW",0,0,0.0,3.3391513841434084
2690,Asher Agbinone,Crystal Palace,MF,2,1,0.0,3.3391513841434084
2691,Damián Pizarro,Udinese,"FW,MF",0,0,0.0,3.3391513841434084
2692,Milos Lukovic,Strasbourg,"FW,MF",0,0,0.0,3.3391513841434084
2693,Sam Johnstone,Wolves,GK,0,0,0.0,3.3272395393533363
2694,Enes Ünal,Bournemouth,"FW,MF",1,0,0.0,3.3244264740156835
2695,Gautier Larsonneur,Saint-Étienne,GK,1,0,0.0,3.316122147381492
2696,Connor Metcalfe,St. Pauli,"MF,FW",2,0,0.0,3.3132785517631413
2697,Steve Mounié,Augsburg,"FW,MF",4,4,0.0,3.2991182102515886
2698,Jérôme Roussillon,Union Berlin,"DF,MF",0,0,0.0,3.2951273862543626
2699,Elye Wahi,Eint Frankfurt,"FW,MF",0,0,0.0,3.2808636339777917
2700,Benjamin Siegrist,Genoa,GK,0,0,0.0,3.2806250507716364
2701,Patrick Drewes,Bochum,GK,0,0,0.0,3.2806250507716364
2702,Patrik Carlgren,Nantes,GK,0,0,0.0,3.2806250507716364
2703,Hákon Rafn Valdimarsson,Brentford,GK,0,0,0.0,3.2806250507716364
2704,Antonio Raimondo,Venezia,"FW,DF",2,1,0.0,3.280484420421013
2705,Eduard Sobol,Strasbourg,DF,0,0,0.0,3.2803428834959836
2706,Roland Sallai,Freiburg,"FW,MF",2,1,0.0,3.280020261302797
2707,Álvaro Fernández,Sevilla,GK,0,0,0.0,3.2783862835248674
2708,Chiquinho,Mallorca,"MF,FW",1,0,0.0,3.277995759331319
2709,Alexander Meyer,Dortmund,GK,0,0,0.0,3.277551228081319
2710,Alberto Cerri,Como,FW,0,0,0.0,3.277551228081319
2711,Neto,Bournemouth,GK,0,0,0.0,3.275505994244695
2712,Aitor Fernández,Osasuna,GK,0,0,0.0,3.275505994244695
2713,Lukas Nmecha,Wolfsburg,"FW,MF",2,0,0.0,3.2751778468962494
2714,Thomas Campaniello,Empoli,FW,0,0,0.0,3.2727590413627947
2715,Michael Kayode,Fiorentina,"DF,FW",1,1,0.0,3.269897832700751
2716,Yusuf Kabadayı,Augsburg,"FW,MF",1,0,0.0,3.268211998806871
2717,Richarlison,Tottenham,FW,5,3,0.0,3.2667138194010605
2718,Fran Vieites,Betis,GK,0,0,0.0,3.26381032727599
2719,Omar El Hilali,Espanyol,DF,111,79,67.4,3.253276457814872
2720,Haris Tabakovic,Hoffenheim,FW,3,1,0.0,3.242740311056859
2721,Scott Banks,St. Pauli,"FW,MF",1,1,0.0,3.223450076634116
2722,Niama Sissoko,Reims,"FW,MF",0,0,0.0,3.2231274544409296
2723,Jacopo Seghetti,Empoli,GK,0,0,0.0,3.223005545384116
2724,Melvin Zinga,Angers,GK,0,0,0.0,3.223005545384116
2725,Rareș-Cătălin Burnete,Lecce,FW,0,0,0.0,3.2226829231909293
2726,Marco Silvestri,Empoli,GK,0,0,0.0,3.220310975003197
2727,Abderrahman Rebbach,Alavés,"FW,MF",3,2,0.0,3.2111365157946135
2728,Mattia Valoti,Monza,MF,3,3,0.0,3.2072561468547356
2729,Aaron Ramsdale,Southampton,GK,0,0,0.0,3.2049791478358003
2730,Florian Müller,Freiburg,GK,0,0,0.0,3.2049791478358003
2731,Lasse Rieß,Mainz 05,GK,0,0,0.0,3.2006155133532195
2732,Frank Feller,Heidenheim,GK,0,0,0.0,3.2006155133532195
2733,Kjetil Haug,Toulouse,GK,0,0,0.0,3.2006155133532195
2734,William Osula,Newcastle Utd,FW,2,0,0.0,3.185893710449008
2735,Marcus Harness,Ipswich Town,MF,1,0,0.0,3.177500070318788
2736,Karim Onisiwo,Mainz 05,"MF,FW",1,1,0.0,3.1748471831355682
2737,Rayan Fofana,Lens,"FW,MF",2,2,0.0,3.174524560942382
2738,Gianluca Lapadula,Cagliari,"FW,MF",2,0,0.0,3.171026274519595
2739,Leonardo Pavoletti,Cagliari,"FW,MF",1,0,0.0,3.1641924680604707
2740,Silvère Ganvoula M'Boussy,Monza,FW,0,0,0.0,3.159337950183343
2741,Kevin Behrens,Wolfsburg,FW,1,1,0.0,3.135413960206219
2742,Odsonne Édouard,Crystal Palace,"MF,FW",1,0,0.0,3.135413960206219
2743,Daniel Luna,Mallorca,MF,0,0,0.0,3.132586066393218
2744,Andrej Ilic,Union Berlin,FW,2,2,0.0,3.131714538997575
2745,Wladimiro Falcone,Lecce,GK,0,0,0.0,3.1179094348974647
2746,Altay Bayındır,Manchester Utd,GK,0,0,0.0,3.1078136307181268
2747,Devis Vásquez,Empoli,GK,0,0,0.0,3.1078136307181268
2748,Hafiz Ibrahim,Reims,FW,3,2,0.0,3.035307404492312
2749,Donovan Léon,Auxerre,GK,0,0,0.0,3.022921894385436
2750,Matheus França,Crystal Palace,"MF,FW",2,0,0.0,3.0224859081173463
2751,David Argüelles,Getafe,MF,0,0,0.0,3.020574996588467
2752,Ifechukwu Ogbus,Freiburg,DF,1,1,0.0,3.020574996588467
2753,Lanroy Machine,Angers,FW,0,0,0.0,3.020574996588467
2754,Dane Scarlett,Tottenham,"FW,MF",1,0,0.0,3.020574996588467
2755,Terem Moffi,Nice,FW,0,0,0.0,3.020574996588467
2756,Mamadou Coulibaly,Monaco,MF,1,0,0.0,3.020574996588467
2757,Alessandro Marcandalli,Genoa,DF,1,0,0.0,3.020574996588467
2758,Urko González,Real Sociedad,MF,0,0,0.0,3.0170307741442453
2759,Tobias Sippel,Gladbach,GK,0,0,0.0,3.0170307741442453
2760,Joel Ward,Crystal Palace,DF,2,0,0.0,3.0044648183240685
2761,Ionuț Radu,Venezia,GK,0,0,0.0,2.9790981979694493
2762,Alessandro Gabrielloni,Como,"FW,MF",0,0,0.0,2.925016046870798
2763,Leo Román,Mallorca,GK,0,0,0.0,2.904243788868221
2764,Ryan Trevitt,Brentford,MF,1,1,0.0,2.900949335405018
2765,Timo Horn,Bochum,GK,0,0,0.0,2.8891371103195063
2766,Filippo Melegoni,Genoa,"MF,FW",1,1,0.0,2.838146810279395
2767,Ben Alexander Voll,St. Pauli,GK,0,0,0.0,2.820898584171609
2768,Adu Ares,Athletic Club,FW,0,0,0.0,2.8135016820658074
2769,Luka Topalović,Inter,MF,1,1,0.0,2.8091893851470386
2770,Alex Padilla,Athletic Club,GK,0,0,0.0,2.8063223021850647
2771,Robin Gosens,Union Berlin,DF,0,0,0.0,2.804053202583687
2772,Aliou Badara Baldé,Bochum,"MF,FW",1,1,0.0,2.7978987680598766
2773,Youssef Chermiti,Everton,"FW,MF",0,0,0.0,2.783276154701015
2774,David Preu,Union Berlin,"MF,DF",1,1,0.0,2.764267827909342
2775,Milan Đurić,Monza,FW,1,1,0.0,2.7520740215417177
2776,Jon Magunazelaia,Real Sociedad,MF,1,1,0.0,2.7219520988154478
2777,Théo De Percin,Auxerre,GK,0,0,0.0,2.679803519252654
2778,Simone Verdi,Como,"MF,FW",2,2,0.0,2.653671393901784
2779,Dani Cárdenas,Rayo Vallecano,GK,0,0,0.0,2.6387793150593293
2780,Andreas Albers,St. Pauli,FW,1,1,0.0,2.6339750045337422
2781,Juan Musso,Atalanta,GK,0,0,0.0,2.5768765326479395
2782,Stole Dimitrievski,Valencia,GK,0,0,0.0,2.5542004611607454
2783,Prosper Peter,Angers,"MF,FW",2,1,0.0,2.527751673596133
2784,Shiō Fukuda,Gladbach,FW,0,0,0.0,2.5194337105812754
2785,Noah Pesch,Gladbach,FW,1,0,0.0,2.5145139126023675
2786,Aingeru Olabarrieta,Athletic Club,FW,0,0,0.0,2.5136814529169125
2787,Ferrán Ruiz,Girona,MF,0,0,0.0,2.5109006517328023
2788,Alberto Marí,Valencia,FW,0,0,0.0,2.5109006517328023
2789,Finley Stevens,St. Pauli,DF,0,0,0.0,2.5077871048140357
2790,Karol Fila,Strasbourg,MF,0,0,0.0,2.5077871048140357
2791,Nordine Kandil,Strasbourg,MF,0,0,0.0,2.5077871048140357
2792,Alois Confais,Le Havre,MF,0,0,0.0,2.5077871048140357
2793,Alejandro Rodriguez,Lyon,MF,0,0,0.0,2.5077871048140357
2794,Bob Murphy Omoregbe,Milan,MF,0,0,0.0,2.5077871048140357
2795,Aboubacar Bassinga,Las Palmas,MF,0,0,0.0,2.5077871048140357
2796,Ihlas Bebou,Hoffenheim,MF,0,0,0.0,2.5077871048140357
2797,Maurides,St. Pauli,FW,0,0,0.0,2.5077871048140357
2798,George Edmundson,Ipswich Town,DF,0,0,0.0,2.5077871048140357
2799,Roger Hinojo,Espanyol,DF,0,0,0.0,2.5077871048140357
2800,Leandro Antonetti,Sevilla,FW,0,0,0.0,2.5077871048140357
2801,Kandet Diawara,Le Havre,FW,0,0,0.0,2.5077871048140357
2802,David Otorbi,Valencia,MF,0,0,0.0,2.5077871048140357
2803,Kenedy,Valladolid,"MF,FW",0,0,0.0,2.5077871048140357
2804,Arnau Solà,Villarreal,MF,0,0,0.0,2.5077871048140357
2805,Harrison Armstrong,Everton,MF,0,0,0.0,2.435280153258666
2806,Milan Đurić,Parma,FW,0,0,0.0,2.177041934523812
2807,Maximilian Philipp,Freiburg,"MF,FW",0,0,0.0,2.1530844369941646
2808,Valentín Pezzolesi,Las Palmas,DF,0,0,0.0,1.9870118750000012
2809,Papa Ba,Girona,MF,1,1,0.0,1.8941589475108238
2810,Kjell-Arik Wätjen,Dortmund,MF,0,0,0.0,1.8920912391774893
2811,Ivan Prtajin,Union Berlin,FW,3,2,0.0,1.8892431141774884
2812,Adrian Rodriguez,Alavés,GK,0,0,0.0,1.8877493641774883
2813,Idrissa Gana Gueye,Everton,MF,133,80,58.6,1.7268638542804564
2814,Adryelson,Lyon,DF,0,0,0.0,1.6826829059829074
2815,Tammy Abraham,Roma,FW,0,0,0.0,1.6824829059829074
2816,Tommaso Rubino,Fiorentina,MF,0,0,0.0,1.6809829059829073
2817,Daniel Díaz,Real Sociedad,MF,1,1,0.0,1.6703829059829087
2818,Plamedi Nsingi,Nantes,MF,1,0,0.0,1.6664829059829085
2819,Tadeo Allende,Celta Vigo,FW,0,0,0.0,1.6658829059829088
2820,Yoann Cissé,Auxerre,MF,0,0,0.0,1.6655829059829088
2821,Petar Stojanović,Empoli,MF,0,0,0.0,1.6654829059829086
2822,Ben Viadere,Auxerre,MF,0,0,0.0,1.6653829059829086
2823,Carlos Vinícius,Fulham,"MF,FW",0,0,0.0,1.6651829059829086
2824,Tommaso Gabellini,Torino,FW,0,0,0.0,1.6651829059829086
2825,Daniele Sommariva,Genoa,GK,0,0,0.0,1.6596329059829085
2826,Mario Balotelli,Genoa,"FW,MF",0,0,0.0,1.3235687499999975
2827,Simone Perilli,Hellas Verona,GK,0,0,0.0,1.3140687499999968
2828,Robinio Vaz,Marseille,FW,1,1,0.0,1.2634562499999997
2829,Lois Diony,Angers,FW,0,0,0.0,1.2336312500000004
2830,David Mokwa,Hoffenheim,"DF,FW",1,0,0.0,1.2328812500000002
2831,Xavier Moreno,Valladolid,FW,0,0,0.0,1.2055750000000025
2832,Etienne Eto'o,Rayo Vallecano,FW,0,0,0.0,1.0644500000000006
2833,Karl Etta,Villarreal,"MF,FW",0,0,0.0,0.08125
2834,Daniel Yáñez,Real Madrid,FW,0,0,0.0,0.0
2835,Nathan Butler-Oyedeji,Arsenal,FW,0,0,0.0,0.0
2836,Adrian Niño,Atlético Madrid,FW,0,0,0.0,0.0
2837,Michael Golding,Leicester City,MF,0,0,0.0,0.0
2838,Faris Pemi Moumbagna,Marseille,FW,0,0,0.0,0.0
2839,Reiss Nelson,Arsenal,FW,1,0,0.0,0.0
2840,Will Lankshear,Tottenham,"FW,MF",0,0,0.0,0.0
2841,Jay Stansfield,Fulham,MF,0,0,0.0,0.0
2842,Anthony Briançon,Saint-Étienne,DF,0,0,0.0,0.0
2843,Yllan Okou,Hellas Verona,DF,0,0,0.0,0.0
2844,Kaelan Casey,West Ham,DF,0,0,0.0,0.0
2845,Remy Rees-Dottin,Bournemouth,FW,0,0,0.0,0.0
2846,Aaron Malouda,Lille,FW,0,0,0.0,0.0
2847,Darío Fuentes,Sevilla,DF,0,0,0.0,0.0
2848,Tom King,Wolves,GK,0,0,0.0,0.0
2849,Kacper Koscierski,Bochum,DF,0,0,0.0,0.0
2850,Aaron Ciammaglichella,Torino,MF,0,0,0.0,0.0
2851,Faik Sakar,RB Leipzig,MF,0,0,0.0,0.0
2852,Saba Sazonov,Torino,DF,0,0,0.0,0.0
2853,Shumaira Mheuka,Chelsea,MF,0,0,0.0,0.0
2854,Mateo Mejía,Sevilla,FW,0,0,0.0,0.0
